error_distance,point_reference_tag
1.0010572820361132,2
1.001577753094079,5
1.0024839221995308,5
1.0034919770089978,8
1.0040811217155385,7
1.0046146312010096,5
1.0060955075586826,5
1.0073009290334782,1
1.0094891144113265,5
1.0098207480418835,4
1.0123382182115168,2
1.0139125631554324,5
1.0157276319750637,4
1.0171030871445634,5
1.017585604616271,2
1.0224556350164051,7
1.0246214118180368,5
1.0267225168741974,5
1.0271642013850744,6
1.028302072178753,6
1.0288553215819785,5
1.0291325213971119,6
1.0311865914071938,6
1.0317084088607242,7
1.0318201511811684,7
1.0363222990534666,3
1.0373556810299207,2
1.0417958783394539,6
1.043426244972843,2
1.044990542170933,8
1.0477031970498245,8
1.0498152324804162,7
1.0508211745456482,3
1.0508545301970968,5
1.054113989628352,5
1.0545983614644217,4
1.0546139959795717,5
1.0560287159374129,6
1.0572659429199165,7
1.0598089316798824,6
1.0623191833986192,8
1.0625200788532079,6
1.0648430289213264,6
1.0654751203305672,5
1.0689689907135072,5
1.0692056928243512,5
1.0734818032959608,5
1.0834540468144847,5
1.084541779333439,7
1.084591470938583,5
1.0854137012353862,5
1.0865899213960044,7
1.088188751670989,4
1.0928765760440382,6
1.0948856902451507,4
1.094957090350473,7
1.0952857226068822,6
1.0959235970434211,5
1.099310961411254,2
1.099503913826542,5
1.1026016636690206,4
1.1029150278788908,5
1.1037855662757685,2
1.1091835723901968,6
1.1099303438063401,3
1.1127066590398378,5
1.115131385610926,5
1.1151404695577425,6
1.1172616503316157,5
1.1192397245898313,3
1.1210114088017686,6
1.1240742151151526,6
1.1258726748813013,4
1.1292341641363366,4
1.1325868055430515,4
1.1327821568513363,4
1.1339683804740748,4
1.1375293066752041,8
1.1408584586335053,4
1.1417925928641912,2
1.1533480781442587,5
1.157078837673581,3
1.15811918850329,4
1.158921125174664,6
1.1638353981904426,4
1.1659646158936348,5
1.1696750809461354,7
1.1720005283161694,5
1.1725856094315612,1
1.1744575969160203,5
1.1750521148345894,5
1.1752342906757145,5
1.1774710014150935,7
1.1838567508897948,7
1.1867227413670174,6
1.1881352344322609,3
1.1894634000284585,8
1.1963202191815774,5
1.1975125486338707,3
1.2007170184035807,7
1.2017648688751563,4
1.2071586295933916,6
1.208368536015699,5
1.2096830736370476,1
1.21608730356288,5
1.21983666502702,2
1.2225930690137476,6
1.2270286758609028,6
1.2308499140407436,6
1.2352300254458115,6
1.2362290040475619,6
1.2385504123640094,7
1.238672692443611,2
1.239550399891217,4
1.2397211747796604,4
1.2400524448140344,6
1.2403698245462984,7
1.2407079644160788,5
1.2446268429505323,6
1.2469551515538961,6
1.2470083144986956,5
1.2476434527714484,5
1.2536522193050825,7
1.2621456921619798,2
1.2638964884429078,3
1.2658497810449665,6
1.266371151246291,4
1.2700868050501277,6
1.2729033274451804,2
1.2807524244468325,3
1.2841744664188983,6
1.2843742906502182,7
1.2849866471303055,6
1.285688438751414,3
1.2909921485259346,2
1.2916501430076248,8
1.2955268121498378,6
1.3019944546367987,5
1.3036085700257343,5
1.3045899088078334,4
1.30499564861458,1
1.306162442962946,5
1.3174377135663653,5
1.3221713961843582,7
1.323753107376758,1
1.3242095887462901,4
1.3255667682753078,2
1.327884070957992,4
1.3289593626361136,7
1.3331327605022585,6
1.333745958199746,5
1.334112032555289,5
1.3524520865051097,8
1.359118161398708,8
1.3595670843647374,2
1.36114056166294,3
1.3620723566931652,2
1.3631652278194906,7
1.3638575915287092,5
1.3642261588697793,2
1.3684514193818893,5
1.369576374355985,5
1.3705108802792625,5
1.3735258262972931,4
1.377899002363586,4
1.3800712352939808,3
1.3827997329993558,4
1.3852560489938446,6
1.3886180656133171,7
1.3954721697918904,1
1.4009651825049727,1
1.4135912171323888,4
1.4156061409805647,8
1.41903007969004,2
1.4210833185566294,6
1.4331040839884828,5
1.435200937332512,5
1.4407535327604422,8
1.442930906268009,3
1.444147947042231,8
1.444642464284712,3
1.449196746467393,6
1.4680129568010183,5
1.4738128367853593,4
1.4771485902967536,3
1.4790178362200486,6
1.4834940271377102,3
1.4839559856059699,5
1.4844575373047446,6
1.4953967383754307,3
1.499396503797375,6
1.5027470632260025,5
1.5042412667508689,6
1.5045430617948556,6
1.5093068824441895,6
1.511357326498265,3
1.5329171646568902,8
1.5356249201927727,4
1.541926753371492,6
1.5479341218362384,6
1.5485481273568285,4
1.5515672979576915,6
1.5551999095845295,6
1.5563780665108462,3
1.5573922285624837,3
1.5622390487788398,4
1.5658233291662802,6
1.5694892399797922,3
1.5769696833255855,4
1.5781024163935327,7
1.5785554523456433,6
1.5804259885983378,7
1.5810594064443302,8
1.5935469617609341,6
1.598183233363283,6
1.5982932877249296,3
1.5991975046297198,3
1.59952900924548,3
1.6008324873037045,2
1.6039790787972261,6
1.6079973230299793,3
1.6142575761257496,4
1.625297917527162,7
1.6330334565805278,6
1.636573283833883,5
1.641263935519248,3
1.6456839425963006,6
1.6483924178991314,3
1.648462373525455,4
1.6575490309019154,3
1.6607927679755945,3
1.6640917983817058,7
1.6712474290347616,6
1.6866632793207195,3
1.6917277734618092,5
1.7033275176586582,8
1.7202364086177782,4
1.7219286571661432,3
1.726629122188241,3
1.7295310599252363,3
1.738404551298288,3
1.743410952715728,3
1.7471238025612723,4
1.756478496747491,3
1.7633735401327977,3
1.768170697272997,6
1.7714289128968825,7
1.776961508989525,3
1.7839156763496644,6
1.7910706091711515,3
1.7932554154088627,3
1.7998995379806855,8
1.80462265750964,4
1.8110612468093785,4
1.8186740139876652,3
1.821594134031535,4
1.8219118047547282,8
1.8249713146775992,3
1.8267934080698809,6
1.8312354166226794,8
1.8335860586444048,6
1.8384182985778221,6
1.8403861011903837,1
1.8509482678347295,6
1.8577251427367483,7
1.8580167052708276,6
1.8597366682799517,8
1.860732112144181,8
1.8905926706193865,3
1.9016856551387349,3
1.9024625546963185,3
1.9160459523086688,6
1.9375740090865752,3
1.9421599107730707,3
1.9464126481721573,3
1.9731212289498175,4
1.9735432099089412,8
1.9831348985854262,3
1.9870367083876965,3
1.9978748837066544,4
2.0026500868385804,4
2.0084610003122942,4
2.0125980695500383,3
2.0129942969199006,8
2.0168117614728183,8
2.017034751384019,2
2.028977670199721,5
2.070125085340021,7
2.084432820312223,2
2.0845242378683415,3
2.095534623620914,2
2.096598571251066,6
2.104255910279702,3
2.124456973274805,4
2.1383557191620617,6
2.1422460100885465,4
2.1460642826285867,6
2.156982016017128,3
2.167341758977712,2
2.174949810770287,6
2.185751213037998,6
2.1893500323039468,2
2.1961565810470116,6
2.2051641344323407,3
2.219231248374774,4
2.2864600519072242,5
2.302372201546512,6
2.314067636082628,2
2.332827923618616,7
2.337975590483333,6
2.3381430288488567,3
2.338180393949363,6
2.339490582699518,6
2.3528504360838505,4
2.363225194148552,4
2.3772798895310583,8
2.3862033592747425,6
2.393887411472532,6
2.4245384600012887,6
2.4251446944033357,3
2.4715801487109896,2
2.5071958130420464,6
2.55737392795846,4
2.6153938603126137,2
2.625839500742171,7
2.6327389067393807,2
2.643037145050043,3
2.6656186746370953,2
2.6921330565592143,2
2.7264043699426335,6
2.754377063714588,7
2.772313823791247,3
2.8247272631154976,3
2.857956525311471,1
2.884630283164225,1
2.988691774274245,2
3.0011363037451333,2
3.05372455568067,8
3.086762773497507,1
3.172333755117644,1
3.1906102963484098,1
3.191511580422092,1
3.257253043427718,5
3.2686883091809276,1
3.277323541210774,1
3.370321263378441,1
3.4228656880905106,1
3.4313496368914223,2
3.4892036126398254,1
3.4977027379313155,1
3.661928859805422,3
3.7431683469868022,5
3.9126980991569025,1
3.951716858154283,8
4.137519220548139,8
4.294521049413006,1
4.396793045520938,1
4.6654523973331905,7
4.714699971367003,6
4.941419527325482,4
5.0226299064735,4
5.095650904486179,6
5.286408611978508,4
7.257541244706256,7
7.921887748038954,2
9.281950880448736,2
