time,uuid,mac,rssi
1572919448879,10000198,6C:EC:EB:1F:FD:83,-74
1572919448897,10000199,6C:EC:EB:1F:F4:46,-75
1572919448898,10000190,6C:EC:EB:1F:F6:26,-91
1572919448952,10000197,6C:EC:EB:1F:F6:76,-76
1572919448966,10000192,6C:EC:EB:1F:F6:24,-86
1572919448984,10000195,6C:EC:EB:1F:F6:15,-87
1572919448986,10000198,6C:EC:EB:1F:FD:83,-73
1572919448998,10000199,6C:EC:EB:1F:F4:46,-78
1572919449000,10000190,6C:EC:EB:1F:F6:26,-82
1572919449004,1546,7C:66:9D:7B:2B:9F,-75
1572919449014,0000,72:92:32:0B:F0:E5,-77
1572919449034,1545,7C:66:9D:7B:2B:90,-85
1572919449035,0101,BC:14:EF:7B:03:3C,-75
1572919449036,10000196,6C:EC:EB:1F:F4:74,-64
1572919449048,10000191,6C:EC:EB:1F:F6:65,-73
1572919449065,1538,BC:6A:29:BE:2F:23,-86
1572919449066,10000197,6C:EC:EB:1F:F6:76,-76
1572919449084,10000192,6C:EC:EB:1F:F6:24,-83
1572919449086,10000198,6C:EC:EB:1F:FD:83,-78
1572919449086,10000199,6C:EC:EB:1F:F4:46,-78
1572919449112,1546,7C:66:9D:7B:2B:9F,-76
1572919449131,10000196,6C:EC:EB:1F:F4:74,-66
1572919449136,10000191,6C:EC:EB:1F:F6:65,-74
1572919449151,1538,BC:6A:29:BE:2F:23,-89
1572919449162,10000197,6C:EC:EB:1F:F6:76,-76
1572919449173,0000,7E:58:6A:49:F3:8B,-76
1572919449184,10000198,6C:EC:EB:1F:FD:83,-68
1572919449193,10000199,6C:EC:EB:1F:F4:46,-72
1572919449230,1545,7C:66:9D:7B:2B:90,-83
1572919449237,10000191,6C:EC:EB:1F:F6:65,-84
1572919449239,10000196,6C:EC:EB:1F:F4:74,-59
1572919449251,1538,BC:6A:29:BE:2F:23,-86
1572919449261,0000,5E:D8:39:B9:CA:36,-77
1572919449273,10000197,6C:EC:EB:1F:F6:76,-80
1572919449275,1541,7C:66:9D:7B:29:FB,-90
1572919449284,10000192,6C:EC:EB:1F:F6:24,-82
1572919449286,0000,72:92:32:0B:F0:E5,-79
1572919449292,10000198,6C:EC:EB:1F:FD:83,-69
1572919449302,10000199,6C:EC:EB:1F:F4:46,-76
1572919449310,10000190,6C:EC:EB:1F:F6:26,-86
1572919449319,1546,7C:66:9D:7B:2B:9F,-77
1572919449326,0101,BC:14:EF:7B:03:3C,-76
1572919449344,10000191,6C:EC:EB:1F:F6:65,-79
1572919449349,10000196,6C:EC:EB:1F:F4:74,-62
1572919449376,10000197,6C:EC:EB:1F:F6:76,-80
1572919449382,1541,7C:66:9D:7B:29:FB,-88
1572919449393,10000192,6C:EC:EB:1F:F6:24,-87
1572919449443,1545,7C:66:9D:7B:2B:90,-91
1572919449446,0000,7E:58:6A:49:F3:8B,-76
1572919449452,10000196,6C:EC:EB:1F:F4:74,-62
1572919449461,1538,BC:6A:29:BE:2F:23,-89
1572919449477,10000193,6C:EC:EB:1F:F6:55,-93
1572919449479,-18240-9382,4E:2F:D4:4F:23:F5,-86
1572919449488,10000197,6C:EC:EB:1F:F6:76,-74
1572919449490,1541,7C:66:9D:7B:29:FB,-88
1572919449502,10000198,6C:EC:EB:1F:FD:83,-66
1572919449509,10000199,6C:EC:EB:1F:F4:46,-72
1572919449515,10000190,6C:EC:EB:1F:F6:26,-85
1572919449526,1546,7C:66:9D:7B:2B:9F,-73
1572919449564,1545,7C:66:9D:7B:2B:90,-86
1572919449566,10000196,6C:EC:EB:1F:F4:74,-59
1572919449567,10000191,6C:EC:EB:1F:F6:65,-76
1572919449571,1538,BC:6A:29:BE:2F:23,-88
1572919449584,1541,7C:66:9D:7B:29:FB,-90
1572919449587,10000197,6C:EC:EB:1F:F6:76,-75
1572919449604,10000198,6C:EC:EB:1F:FD:83,-70
1572919449616,10000199,6C:EC:EB:1F:F4:46,-70
1572919449623,10000190,6C:EC:EB:1F:F6:26,-86
1572919449670,10000191,6C:EC:EB:1F:F6:65,-79
1572919449675,1538,BC:6A:29:BE:2F:23,-80
1572919449693,10000197,6C:EC:EB:1F:F6:76,-74
1572919449695,10000195,6C:EC:EB:1F:F6:15,-93
1572919449707,10000198,6C:EC:EB:1F:FD:83,-71
1572919449722,10000199,6C:EC:EB:1F:F4:46,-71
1572919449727,10000190,6C:EC:EB:1F:F6:26,-86
1572919449731,1546,7C:66:9D:7B:2B:9F,-73
1572919449763,10000196,6C:EC:EB:1F:F4:74,-58
1572919449774,10000191,6C:EC:EB:1F:F6:65,-86
1572919449802,10000197,6C:EC:EB:1F:F6:76,-74
1572919449807,0000,5E:D8:39:B9:CA:36,-75
1572919449821,10000192,6C:EC:EB:1F:F6:24,-79
1572919449824,10000199,6C:EC:EB:1F:F4:46,-74
1572919449825,0000,72:92:32:0B:F0:E5,-77
1572919449834,10000190,6C:EC:EB:1F:F6:26,-86
1572919449839,1546,7C:66:9D:7B:2B:9F,-71
1572919449859,1545,7C:66:9D:7B:2B:90,-86
1572919449862,10000196,6C:EC:EB:1F:F4:74,-59
1572919449885,10000191,6C:EC:EB:1F:F6:65,-80
1572919449891,1538,BC:6A:29:BE:2F:23,-78
1572919449910,10000197,6C:EC:EB:1F:F6:76,-75
1572919449924,10000198,6C:EC:EB:1F:FD:83,-69
1572919449931,0101,BC:14:EF:7B:03:3C,-73
1572919449970,10000196,6C:EC:EB:1F:F4:74,-60
1572919450000,1538,BC:6A:29:BE:2F:23,-77
1572919450027,10000192,6C:EC:EB:1F:F6:24,-80
1572919450034,10000198,6C:EC:EB:1F:FD:83,-68
1572919450037,10000199,6C:EC:EB:1F:F4:46,-82
1572919450066,1546,7C:66:9D:7B:2B:9F,-71
1572919450071,10000196,6C:EC:EB:1F:F4:74,-61
1572919450086,0000,5E:D8:39:B9:CA:36,-81
1572919450094,10000191,6C:EC:EB:1F:F6:65,-78
1572919450102,0000,72:92:32:0B:F0:E5,-73
1572919450121,10000197,6C:EC:EB:1F:F6:76,-75
1572919450136,10000198,6C:EC:EB:1F:FD:83,-69
1572919450143,10000199,6C:EC:EB:1F:F4:46,-77
1572919450157,10000190,6C:EC:EB:1F:F6:26,-86
1572919450159,1546,7C:66:9D:7B:2B:9F,-70
1572919450180,10000196,6C:EC:EB:1F:F4:74,-63
1572919450204,10000191,6C:EC:EB:1F:F6:65,-78
1572919450209,1538,BC:6A:29:BE:2F:23,-76
1572919450223,10000197,6C:EC:EB:1F:F6:76,-76
1572919450232,0101,BC:14:EF:7B:03:3C,-75
1572919450238,10000198,6C:EC:EB:1F:FD:83,-70
1572919450244,10000192,6C:EC:EB:1F:F6:24,-82
1572919450253,10000199,6C:EC:EB:1F:F4:46,-75
1572919450260,0000,7E:58:6A:49:F3:8B,-77
1572919450265,10000190,6C:EC:EB:1F:F6:26,-87
1572919450281,10000196,6C:EC:EB:1F:F4:74,-68
1572919450305,10000191,6C:EC:EB:1F:F6:65,-79
1572919450319,1538,BC:6A:29:BE:2F:23,-76
1572919450328,10000197,6C:EC:EB:1F:F6:76,-76
1572919450349,10000192,6C:EC:EB:1F:F6:24,-84
1572919450353,10000198,6C:EC:EB:1F:FD:83,-70
1572919450360,10000199,6C:EC:EB:1F:F4:46,-78
1572919450366,1546,7C:66:9D:7B:2B:9F,-71
1572919450377,0000,72:92:32:0B:F0:E5,-75
1572919450382,10000196,6C:EC:EB:1F:F4:74,-67
1572919450414,10000191,6C:EC:EB:1F:F6:65,-82
1572919450419,1541,7C:66:9D:7B:29:FB,-92
1572919450428,1538,BC:6A:29:BE:2F:23,-77
1572919450434,10000197,6C:EC:EB:1F:F6:76,-78
1572919450449,10000192,6C:EC:EB:1F:F6:24,-88
1572919450453,10000198,6C:EC:EB:1F:FD:83,-71
1572919450464,10000199,6C:EC:EB:1F:F4:46,-81
1572919450474,1546,7C:66:9D:7B:2B:9F,-73
1572919450525,10000191,6C:EC:EB:1F:F6:65,-84
1572919450530,1538,BC:6A:29:BE:2F:23,-81
1572919450533,0000,7E:58:6A:49:F3:8B,-80
1572919450535,10000197,6C:EC:EB:1F:F6:76,-77
1572919450543,0101,BC:14:EF:7B:03:3C,-82
1572919450556,10000198,6C:EC:EB:1F:FD:83,-76
1572919450569,10000199,6C:EC:EB:1F:F4:46,-76
1572919450577,1546,7C:66:9D:7B:2B:9F,-77
1572919450583,10000190,6C:EC:EB:1F:F6:26,-93
1572919450595,10000196,6C:EC:EB:1F:F4:74,-64
1572919450632,10000191,6C:EC:EB:1F:F6:65,-89
1572919450635,1538,BC:6A:29:BE:2F:23,-82
1572919450642,10000197,6C:EC:EB:1F:F6:76,-79
1572919450650,0000,72:92:32:0B:F0:E5,-74
1572919450655,10000198,6C:EC:EB:1F:FD:83,-75
1572919450671,10000199,6C:EC:EB:1F:F4:46,-76
1572919450683,1546,7C:66:9D:7B:2B:9F,-74
1572919450699,1545,7C:66:9D:7B:2B:90,-93
1572919450704,10000196,6C:EC:EB:1F:F4:74,-65
1572919450740,1538,BC:6A:29:BE:2F:23,-81
1572919450776,10000199,6C:EC:EB:1F:F4:46,-77
1572919450788,1546,7C:66:9D:7B:2B:9F,-74
1572919450804,0000,7E:58:6A:49:F3:8B,-82
1572919450810,10000196,6C:EC:EB:1F:F4:74,-68
1572919450848,10000197,6C:EC:EB:1F:F6:76,-82
1572919450860,10000198,6C:EC:EB:1F:FD:83,-80
1572919450879,10000199,6C:EC:EB:1F:F4:46,-74
1572919450895,1546,7C:66:9D:7B:2B:9F,-74
1572919450909,10000196,6C:EC:EB:1F:F4:74,-75
1572919450921,0000,72:92:32:0B:F0:E5,-79
1572919450966,10000198,6C:EC:EB:1F:FD:83,-78
1572919450982,10000199,6C:EC:EB:1F:F4:46,-74
1572919451001,1546,7C:66:9D:7B:2B:9F,-75
1572919451017,10000196,6C:EC:EB:1F:F4:74,-70
1572919451058,10000197,6C:EC:EB:1F:F6:76,-83
1572919451073,10000198,6C:EC:EB:1F:FD:83,-78
1572919451081,0000,7E:58:6A:49:F3:8B,-85
1572919451086,10000199,6C:EC:EB:1F:F4:46,-75
1572919451103,1546,7C:66:9D:7B:2B:9F,-75
1572919451123,10000196,6C:EC:EB:1F:F4:74,-75
1572919451161,10000197,6C:EC:EB:1F:F6:76,-81
1572919451178,10000198,6C:EC:EB:1F:FD:83,-80
1572919451191,10000199,6C:EC:EB:1F:F4:46,-76
1572919451194,0000,72:92:32:0B:F0:E5,-80
1572919451207,1546,7C:66:9D:7B:2B:9F,-75
1572919451228,10000196,6C:EC:EB:1F:F4:74,-64
1572919451286,10000198,6C:EC:EB:1F:FD:83,-80
1572919451298,10000199,6C:EC:EB:1F:F4:46,-80
1572919451315,1546,7C:66:9D:7B:2B:9F,-71
1572919451328,10000196,6C:EC:EB:1F:F4:74,-53
1572919451377,10000197,6C:EC:EB:1F:F6:76,-79
1572919451392,10000198,6C:EC:EB:1F:FD:83,-79
1572919451395,10000192,6C:EC:EB:1F:F6:24,-89
1572919451401,10000199,6C:EC:EB:1F:F4:46,-75
1572919451418,1546,7C:66:9D:7B:2B:9F,-71
1572919451432,10000196,6C:EC:EB:1F:F4:74,-62
1572919451450,0101,BC:14:EF:7B:03:3C,-80
1572919451461,0000,72:92:32:0B:F0:E5,-79
1572919451474,1538,BC:6A:29:BE:2F:23,-81
1572919451476,10000197,6C:EC:EB:1F:F6:76,-77
1572919451479,1541,7C:66:9D:7B:29:FB,-91
1572919451507,10000199,6C:EC:EB:1F:F4:46,-77
1572919451518,1546,7C:66:9D:7B:2B:9F,-70
1572919451535,1545,7C:66:9D:7B:2B:90,-88
1572919451541,10000196,6C:EC:EB:1F:F4:74,-69
1572919451579,1538,BC:6A:29:BE:2F:23,-83
1572919451603,10000198,6C:EC:EB:1F:FD:83,-72
1572919451609,10000199,6C:EC:EB:1F:F4:46,-79
1572919451618,0000,7E:58:6A:49:F3:8B,-86
1572919451625,1546,7C:66:9D:7B:2B:9F,-68
1572919451650,10000196,6C:EC:EB:1F:F4:74,-59
