time,uuid,mac,rssi
1575943401605,0000,53:E1:28:7B:A0:04,-48
1575943401619,330327583,23:9A:A9:CD:CF:3C,-69
1575943401639,1541,7C:66:9D:7B:29:FB,-74
1575943401700,10000198,6C:EC:EB:1F:FD:83,-79
1575943401720,330327583,23:9A:A9:CD:CF:3C,-69
1575943401738,1541,7C:66:9D:7B:29:FB,-67
1575943401756,10000197,6C:EC:EB:1F:F6:76,-80
1575943401820,1538,BC:6A:29:BE:2F:23,-68
1575943401837,330327583,23:9A:A9:CD:CF:3C,-73
1575943401844,1541,7C:66:9D:7B:29:FB,-68
1575943401880,0000,53:E1:28:7B:A0:04,-48
1575943401943,0000,4D:E6:1B:B4:D4:1C,-85
1575943402030,1538,BC:6A:29:BE:2F:23,-65
1575943402036,330327583,23:9A:A9:CD:CF:3C,-68
1575943402126,1546,7C:66:9D:7B:2B:9F,-68
1575943402139,1538,BC:6A:29:BE:2F:23,-66
1575943402154,0000,53:E1:28:7B:A0:04,-42
1575943402226,1546,7C:66:9D:7B:2B:9F,-64
1575943402230,10000198,6C:EC:EB:1F:FD:83,-64
1575943402240,1538,BC:6A:29:BE:2F:23,-68
1575943402246,330327583,23:9A:A9:CD:CF:3C,-71
1575943402260,1545,7C:66:9D:7B:2B:90,-91
1575943402272,1541,7C:66:9D:7B:29:FB,-71
1575943402274,10000197,6C:EC:EB:1F:F6:76,-80
1575943402335,1546,7C:66:9D:7B:2B:9F,-68
1575943402340,1538,BC:6A:29:BE:2F:23,-71
1575943402369,1541,7C:66:9D:7B:29:FB,-70
1575943402376,10000197,6C:EC:EB:1F:F6:76,-76
1575943402424,0000,45:06:F4:16:73:15,-76
1575943402440,0000,53:E1:28:7B:A0:04,-54
1575943402441,10000198,6C:EC:EB:1F:FD:83,-65
1575943402462,10000199,6C:EC:EB:1F:F4:46,-86
1575943402475,1541,7C:66:9D:7B:29:FB,-73
1575943402542,1538,BC:6A:29:BE:2F:23,-76
1575943402583,1541,7C:66:9D:7B:29:FB,-73
1575943402590,10000197,6C:EC:EB:1F:F6:76,-83
1575943402683,1541,7C:66:9D:7B:29:FB,-73
1575943402695,0000,45:06:F4:16:73:15,-74
1575943402696,10000197,6C:EC:EB:1F:F6:76,-85
1575943402719,0000,53:E1:28:7B:A0:04,-52
