1578453667488,1545,7C:66:9D:7B:2B:90,-85
1578453667508,1538,BC:6A:29:BE:2F:23,-98
1578453667514,0000,7B:A4:A4:1D:F0:88,-83
1578453667534,3561-16637,1E:FC:46:E3:44:74,-91
1578453667548,1100,BC:6A:29:BE:31:57,-74
1578453667590,1545,7C:66:9D:7B:2B:90,-76
1578453667600,10000193,6C:EC:EB:1F:F6:55,-96
1578453667641,1541,7C:66:9D:7B:29:FB,-84
1578453667642,1100,BC:6A:29:BE:31:57,-65
1578453667690,1545,7C:66:9D:7B:2B:90,-69
1578453667709,0000,7D:07:80:36:36:54,-90
1578453667739,3561-16637,1E:FC:46:E3:44:74,-88
1578453667744,1105,7C:66:9D:7B:29:FA,-76
1578453667749,1100,BC:6A:29:BE:31:57,-60
1578453667750,0200,BC:6A:29:BE:2F:76,-93
1578453667784,0000,7B:A4:A4:1D:F0:88,-73
1578453667797,1545,7C:66:9D:7B:2B:90,-77
1578453667811,10000193,6C:EC:EB:1F:F6:55,-93
1578453667844,3561-16637,1E:FC:46:E3:44:74,-86
1578453667849,1100,BC:6A:29:BE:31:57,-59
1578453667853,1105,7C:66:9D:7B:29:FA,-75
1578453667858,0200,BC:6A:29:BE:2F:76,-95
1578453667902,1545,7C:66:9D:7B:2B:90,-80
1578453667929,0000,6B:BB:B6:7B:39:6F,-89
1578453667933,10000190,6C:EC:EB:1F:F6:26,-94
1578453667951,3561-16637,1E:FC:46:E3:44:74,-88
1578453667955,1100,BC:6A:29:BE:31:57,-58
1578453667958,1105,7C:66:9D:7B:29:FA,-84
1578453668003,1545,7C:66:9D:7B:2B:90,-76
1578453668034,10000190,6C:EC:EB:1F:F6:26,-93
1578453668046,3561-16637,1E:FC:46:E3:44:74,-86
1578453668051,1541,7C:66:9D:7B:29:FB,-89
1578453668055,1100,BC:6A:29:BE:31:57,-58
1578453668059,1105,7C:66:9D:7B:29:FA,-78
1578453668064,0000,7B:A4:A4:1D:F0:88,-86
1578453668111,1545,7C:66:9D:7B:2B:90,-77
1578453668148,3561-16637,1E:FC:46:E3:44:74,-88
1578453668152,1541,7C:66:9D:7B:29:FB,-90
1578453668159,1105,7C:66:9D:7B:29:FA,-81
1578453668161,1100,BC:6A:29:BE:31:57,-61
1578453668176,0200,BC:6A:29:BE:2F:76,-86
1578453668204,0000,6B:BB:B6:7B:39:6F,-93
1578453668213,0000,44:2F:5B:CB:31:D3,-95
1578453668218,0000,56:4A:7F:42:21:67,-78
1578453668219,1545,7C:66:9D:7B:2B:90,-78
1578453668243,10000190,6C:EC:EB:1F:F6:26,-94
1578453668248,3561-16637,1E:FC:46:E3:44:74,-88
1578453668259,1541,7C:66:9D:7B:29:FB,-85
1578453668262,1100,BC:6A:29:BE:31:57,-58
1578453668267,1105,7C:66:9D:7B:29:FA,-83
1578453668276,0200,BC:6A:29:BE:2F:76,-88
1578453668338,0000,7B:A4:A4:1D:F0:88,-81
1578453668342,1538,BC:6A:29:BE:2F:23,-97
1578453668360,1541,7C:66:9D:7B:29:FB,-80
1578453668365,1100,BC:6A:29:BE:31:57,-59
1578453668377,1105,7C:66:9D:7B:29:FA,-77
1578453668380,0200,BC:6A:29:BE:2F:76,-93
1578453668427,1545,7C:66:9D:7B:2B:90,-78
1578453668469,1541,7C:66:9D:7B:29:FB,-76
1578453668471,18271,7C:66:9D:7B:2D:4A,-96
1578453668472,1100,BC:6A:29:BE:31:57,-61
1578453668487,1105,7C:66:9D:7B:29:FA,-74
1578453668491,0200,BC:6A:29:BE:2F:76,-93
1578453668532,1545,7C:66:9D:7B:2B:90,-82
1578453668553,1538,BC:6A:29:BE:2F:23,-96
1578453668560,3561-16637,1E:FC:46:E3:44:74,-89
1578453668569,18271,7C:66:9D:7B:2D:4A,-96
1578453668572,1541,7C:66:9D:7B:29:FB,-76
1578453668580,1100,BC:6A:29:BE:31:57,-62
1578453668589,1105,7C:66:9D:7B:29:FA,-73
1578453668600,0200,BC:6A:29:BE:2F:76,-94
1578453668611,0000,7B:A4:A4:1D:F0:88,-86
1578453668662,3561-16637,1E:FC:46:E3:44:74,-86
1578453668672,18271,7C:66:9D:7B:2D:4A,-97
1578453668676,1541,7C:66:9D:7B:29:FB,-77
1578453668680,1100,BC:6A:29:BE:31:57,-62
1578453668699,1105,7C:66:9D:7B:29:FA,-75
1578453668702,0200,BC:6A:29:BE:2F:76,-91
1578453668747,1545,7C:66:9D:7B:2B:90,-81
1578453668760,0000,56:4A:7F:42:21:67,-87
1578453668769,3561-16637,1E:FC:46:E3:44:74,-86
1578453668783,1100,BC:6A:29:BE:31:57,-62
1578453668811,0200,BC:6A:29:BE:2F:76,-90
1578453668878,3561-16637,1E:FC:46:E3:44:74,-86
1578453668888,1541,7C:66:9D:7B:29:FB,-76
1578453668908,1105,7C:66:9D:7B:29:FA,-72
1578453668917,0200,BC:6A:29:BE:2F:76,-84
1578453668973,1545,7C:66:9D:7B:2B:90,-78
1578453668978,1538,BC:6A:29:BE:2F:23,-94
1578453668986,18271,7C:66:9D:7B:2D:4A,-94
1578453668988,3561-16637,1E:FC:46:E3:44:74,-92
1578453668992,1100,BC:6A:29:BE:31:57,-66
1578453669000,1541,7C:66:9D:7B:29:FB,-78
1578453669011,1105,7C:66:9D:7B:29:FA,-72
1578453669017,0200,BC:6A:29:BE:2F:76,-82
1578453669019,0000,6B:BB:B6:7B:39:6F,-91
