count,mac,scan_index,uuid
3,DA:0B:11:41:48:F9,,-1
2,44:50:87:E5:B8:7C,,-1
2,4C:70:94:DB:2A:BB,,-1
2,69:F5:49:F9:A0:16,,-1
2,43:0E:6A:59:E3:CB,,-1
2,49:1D:55:B0:F9:54,,-1
2,7D:9C:8D:92:FD:AD,,-1
2,E8:92:23:D3:87:C2,,-1
1,63:A2:2F:93:F3:31,,-1
1,5F:22:61:9E:5B:9A,,-1
1,48:57:7B:19:82:A7,,-1
1,55:77:FC:F0:4B:4A,,-1
1,5F:7F:D1:19:79:73,,-1
1,E5:78:83:41:4A:1B,,-1
