time,uuid,mac,rssi
1575942331235,1105,7C:66:9D:7B:29:FA,-79
1575942331253,-12535-7235,10:3A:4E:22:31:27,-92
1575942331268,1545,7C:66:9D:7B:2B:90,-69
1575942331299,10000194,6C:EC:EB:1F:F6:2D,-84
1575942331319,1100,BC:6A:29:BE:31:57,-75
1575942331336,1105,7C:66:9D:7B:29:FA,-85
1575942331344,1541,7C:66:9D:7B:29:FB,-82
1575942331355,-12535-7235,10:3A:4E:22:31:27,-90
1575942331364,1545,7C:66:9D:7B:2B:90,-64
1575942331419,1100,BC:6A:29:BE:31:57,-77
1575942331440,1105,7C:66:9D:7B:29:FA,-80
1575942331448,10000195,6C:EC:EB:1F:F6:15,-83
1575942331459,2844-13448,45:06:F4:16:73:15,-88
1575942331472,-12535-7235,10:3A:4E:22:31:27,-80
1575942331474,1545,7C:66:9D:7B:2B:90,-66
1575942331478,10000193,6C:EC:EB:1F:F6:55,-88
1575942331521,1100,BC:6A:29:BE:31:57,-75
1575942331528,1538,BC:6A:29:BE:2F:23,-91
1575942331563,-12535-7235,10:3A:4E:22:31:27,-82
1575942331573,1545,7C:66:9D:7B:2B:90,-76
1575942331581,10000193,6C:EC:EB:1F:F6:55,-86
1575942331629,1100,BC:6A:29:BE:31:57,-70
1575942331637,2844-13448,45:06:F4:16:73:15,-88
1575942331654,0000,4F:35:6D:10:38:84,-86
1575942331673,1105,7C:66:9D:7B:29:FA,-75
1575942331675,-12535-7235,10:3A:4E:22:31:27,-85
1575942331682,1545,7C:66:9D:7B:2B:90,-80
1575942331692,10000193,6C:EC:EB:1F:F6:55,-81
1575942331715,10000194,6C:EC:EB:1F:F6:2D,-87
1575942331729,1100,BC:6A:29:BE:31:57,-65
1575942331768,1105,7C:66:9D:7B:29:FA,-78
1575942331776,-12535-7235,10:3A:4E:22:31:27,-87
1575942331783,10000191,6C:EC:EB:1F:F6:65,-91
1575942331793,1545,7C:66:9D:7B:2B:90,-67
1575942331824,10000194,6C:EC:EB:1F:F6:2D,-90
1575942331837,1100,BC:6A:29:BE:31:57,-60
1575942331872,1105,7C:66:9D:7B:29:FA,-88
1575942331880,-12535-7235,10:3A:4E:22:31:27,-83
1575942331891,0000,74:D8:33:14:91:FD,-95
1575942331905,1545,7C:66:9D:7B:2B:90,-74
1575942331932,10000198,6C:EC:EB:1F:FD:83,-88
1575942331975,1541,7C:66:9D:7B:29:FB,-79
1575942331977,1105,7C:66:9D:7B:29:FA,-93
1575942331983,-12535-7235,10:3A:4E:22:31:27,-95
1575942331996,0000,40:97:28:BB:4B:44,-62
1575942332075,1541,7C:66:9D:7B:29:FB,-91
1575942332077,10000195,6C:EC:EB:1F:F6:15,-90
1575942332084,1105,7C:66:9D:7B:29:FA,-86
1575942332144,10000194,6C:EC:EB:1F:F6:2D,-92
1575942332195,-12535-7235,10:3A:4E:22:31:27,-94
1575942332233,0200,BC:6A:29:BE:2F:76,-98
1575942332264,0000,40:97:28:BB:4B:44,-78
1575942332267,1100,BC:6A:29:BE:31:57,-64
1575942332288,1541,7C:66:9D:7B:29:FB,-82
1575942332295,1105,7C:66:9D:7B:29:FA,-83
1575942332298,-12535-7235,10:3A:4E:22:31:27,-84
