time,uuid,mac,rssi
1576114187573,10000198,6C:EC:EB:1F:FD:83,-82
1576114187579,10000191,6C:EC:EB:1F:F6:65,-86
1576114187595,0,6D:C3:CE:1B:6B:3C,-81
1576114187597,10000199,6C:EC:EB:1F:F4:46,-76
1576114187612,1546,7C:66:9D:7B:2B:9F,-70
1576114187629,10000197,6C:EC:EB:1F:F6:76,-81
1576114187632,10000192,6C:EC:EB:1F:F6:24,-86
1576114187663,1538,BC:6A:29:BE:2F:23,-80
1576114187680,10000198,6C:EC:EB:1F:FD:83,-91
1576114187705,1546,7C:66:9D:7B:2B:9F,-72
1576114187712,0,6F:E6:1E:6B:B9:3E,-53
1576114187730,10000192,6C:EC:EB:1F:F6:24,-87
1576114187738,10000190,6C:EC:EB:1F:F6:26,-84
1576114187768,1538,BC:6A:29:BE:2F:23,-80
1576114187782,10000198,6C:EC:EB:1F:FD:83,-77
1576114187801,10000199,6C:EC:EB:1F:F4:46,-64
1576114187810,1546,7C:66:9D:7B:2B:9F,-68
1576114187869,1538,BC:6A:29:BE:2F:23,-80
1576114187886,10000191,6C:EC:EB:1F:F6:65,-85
1576114187887,10000198,6C:EC:EB:1F:FD:83,-82
1576114187891,1545,7C:66:9D:7B:2B:90,-93
1576114187903,10000199,6C:EC:EB:1F:F4:46,-63
1576114187904,1541,7C:66:9D:7B:29:FB,-88
1576114187920,1546,7C:66:9D:7B:2B:9F,-68
1576114187930,10000197,6C:EC:EB:1F:F6:76,-81
1576114187941,10000196,6C:EC:EB:1F:F4:74,-74
1576114187954,10000190,6C:EC:EB:1F:F6:26,-90
1576114187991,0,6F:E6:1E:6B:B9:3E,-55
1576114187994,10000191,6C:EC:EB:1F:F6:65,-83
1576114187996,10000198,6C:EC:EB:1F:FD:83,-77
1576114188004,10000199,6C:EC:EB:1F:F4:46,-67
1576114188021,1546,7C:66:9D:7B:2B:9F,-74
1576114188037,10000192,6C:EC:EB:1F:F6:24,-85
1576114188048,10000196,6C:EC:EB:1F:F4:74,-75
1576114188078,1538,BC:6A:29:BE:2F:23,-80
1576114188099,10000198,6C:EC:EB:1F:FD:83,-85
1576114188112,10000199,6C:EC:EB:1F:F4:46,-66
1576114188123,1546,7C:66:9D:7B:2B:9F,-69
1576114188141,10000192,6C:EC:EB:1F:F6:24,-88
1576114188157,10000196,6C:EC:EB:1F:F4:74,-66
1576114188171,10000190,6C:EC:EB:1F:F6:26,-90
1576114188208,10000198,6C:EC:EB:1F:FD:83,-89
1576114188212,10000199,6C:EC:EB:1F:F4:46,-69
1576114188225,1546,7C:66:9D:7B:2B:9F,-72
1576114188244,10000197,6C:EC:EB:1F:F6:76,-79
1576114188263,10000196,6C:EC:EB:1F:F4:74,-68
1576114188272,0,6E:96:D4:E6:DF:B9,-90
1576114188273,0,6F:E6:1E:6B:B9:3E,-62
1576114188283,10000190,6C:EC:EB:1F:F6:26,-88
1576114188310,10000191,6C:EC:EB:1F:F6:65,-84
1576114188315,10000199,6C:EC:EB:1F:F4:46,-68
1576114188317,10000198,6C:EC:EB:1F:FD:83,-83
1576114188334,1546,7C:66:9D:7B:2B:9F,-75
1576114188368,10000196,6C:EC:EB:1F:F4:74,-75
1576114188379,0,72:A1:7F:5E:5B:21,-80
1576114188387,10000190,6C:EC:EB:1F:F6:26,-84
1576114188388,0,6D:C3:CE:1B:6B:3C,-90
1576114188443,1546,7C:66:9D:7B:2B:9F,-80
1576114188445,10000192,6C:EC:EB:1F:F6:24,-86
1576114188469,10000196,6C:EC:EB:1F:F4:74,-68
1576114188495,10000190,6C:EC:EB:1F:F6:26,-90
1576114188505,1538,BC:6A:29:BE:2F:23,-74
1576114188517,10000191,6C:EC:EB:1F:F6:65,-86
1576114188524,10000198,6C:EC:EB:1F:FD:83,-92
1576114188526,10000199,6C:EC:EB:1F:F4:46,-73
1576114188541,0,6E:96:D4:E6:DF:B9,-76
1576114188547,0,6F:E6:1E:6B:B9:3E,-56
1576114188574,10000196,6C:EC:EB:1F:F4:74,-70
1576114188614,1538,BC:6A:29:BE:2F:23,-75
1576114188636,10000199,6C:EC:EB:1F:F4:46,-76
1576114188648,0,72:A1:7F:5E:5B:21,-82
1576114188653,1546,7C:66:9D:7B:2B:9F,-79
1576114188660,0,6D:C3:CE:1B:6B:3C,-85
1576114188681,10000196,6C:EC:EB:1F:F4:74,-72
1576114188707,10000190,6C:EC:EB:1F:F6:26,-88
1576114188714,1538,BC:6A:29:BE:2F:23,-75
1576114188731,10000191,6C:EC:EB:1F:F6:65,-82
1576114188732,10000198,6C:EC:EB:1F:FD:83,-86
1576114188744,10000199,6C:EC:EB:1F:F4:46,-78
1576114188756,1541,7C:66:9D:7B:29:FB,-96
1576114188758,1546,7C:66:9D:7B:2B:9F,-78
1576114188761,10000197,6C:EC:EB:1F:F6:76,-85
1576114188764,10000192,6C:EC:EB:1F:F6:24,-89
1576114188790,10000196,6C:EC:EB:1F:F4:74,-71
1576114188811,0,6E:96:D4:E6:DF:B9,-75
1576114188817,1538,BC:6A:29:BE:2F:23,-74
1576114188820,0,6F:E6:1E:6B:B9:3E,-59
1576114188836,10000191,6C:EC:EB:1F:F6:65,-84
1576114188849,10000199,6C:EC:EB:1F:F4:46,-75
1576114188863,1546,7C:66:9D:7B:2B:9F,-79
1576114188866,10000192,6C:EC:EB:1F:F6:24,-88
1576114188894,10000196,6C:EC:EB:1F:F4:74,-70
1576114188909,10000190,6C:EC:EB:1F:F6:26,-86
1576114188924,1538,BC:6A:29:BE:2F:23,-74
1576114188928,0,6D:C3:CE:1B:6B:3C,-90
1576114188967,1546,7C:66:9D:7B:2B:9F,-76
1576114188999,10000196,6C:EC:EB:1F:F4:74,-68
1576114189012,10000190,6C:EC:EB:1F:F6:26,-95
1576114189033,1538,BC:6A:29:BE:2F:23,-77
1576114189066,10000199,6C:EC:EB:1F:F4:46,-68
1576114189074,1546,7C:66:9D:7B:2B:9F,-74
1576114189076,10000192,6C:EC:EB:1F:F6:24,-89
1576114189097,0,6F:E6:1E:6B:B9:3E,-57
1576114189106,10000196,6C:EC:EB:1F:F4:74,-67
1576114189140,1538,BC:6A:29:BE:2F:23,-76
1576114189150,10000191,6C:EC:EB:1F:F6:65,-88
1576114189168,1100,BC:6A:29:BE:31:57,-97
1576114189177,10000199,6C:EC:EB:1F:F4:46,-68
1576114189181,1546,7C:66:9D:7B:2B:9F,-74
1576114189197,0,72:A1:7F:5E:5B:21,-83
1576114189215,10000196,6C:EC:EB:1F:F4:74,-70
1576114189253,10000191,6C:EC:EB:1F:F6:65,-90
1576114189283,10000199,6C:EC:EB:1F:F4:46,-67
1576114189286,1546,7C:66:9D:7B:2B:9F,-75
1576114189324,10000196,6C:EC:EB:1F:F4:74,-69
1576114189339,10000190,6C:EC:EB:1F:F6:26,-91
1576114189350,1538,BC:6A:29:BE:2F:23,-77
1576114189356,10000191,6C:EC:EB:1F:F6:65,-87
1576114189371,0,6F:E6:1E:6B:B9:3E,-68
1576114189388,10000192,6C:EC:EB:1F:F6:24,-90
1576114189392,1546,7C:66:9D:7B:2B:9F,-74
1576114189429,10000196,6C:EC:EB:1F:F4:74,-68
1576114189453,1538,BC:6A:29:BE:2F:23,-76
1576114189456,10000198,6C:EC:EB:1F:FD:83,-87
1576114189495,10000199,6C:EC:EB:1F:F4:46,-67
1576114189502,10000197,6C:EC:EB:1F:F6:76,-83
1576114189529,10000196,6C:EC:EB:1F:F4:74,-70
1576114189563,1538,BC:6A:29:BE:2F:23,-77
1576114189599,10000199,6C:EC:EB:1F:F4:46,-69
1576114189602,10000192,6C:EC:EB:1F:F6:24,-89
1576114189611,10000197,6C:EC:EB:1F:F6:76,-83
1576114189631,0,6E:96:D4:E6:DF:B9,-78
1576114189637,10000196,6C:EC:EB:1F:F4:74,-78
1576114189644,0,6F:E6:1E:6B:B9:3E,-57
1576114189699,10000199,6C:EC:EB:1F:F4:46,-69
1576114189708,1546,7C:66:9D:7B:2B:9F,-75
1576114189738,10000196,6C:EC:EB:1F:F4:74,-71
1576114189817,1546,7C:66:9D:7B:2B:9F,-74
1576114189820,10000197,6C:EC:EB:1F:F6:76,-84
1576114189845,10000196,6C:EC:EB:1F:F4:74,-71
1576114189885,1538,BC:6A:29:BE:2F:23,-76
1576114189887,10000198,6C:EC:EB:1F:FD:83,-83
1576114189899,0,6E:96:D4:E6:DF:B9,-79
1576114189910,10000199,6C:EC:EB:1F:F4:46,-68
1576114189915,10000192,6C:EC:EB:1F:F6:24,-92
1576114189950,10000196,6C:EC:EB:1F:F4:74,-71
1576114189955,10000190,6C:EC:EB:1F:F6:26,-93
1576114189986,1538,BC:6A:29:BE:2F:23,-77
1576114189990,10000198,6C:EC:EB:1F:FD:83,-86
1576114190012,10000199,6C:EC:EB:1F:F4:46,-68
1576114190033,1546,7C:66:9D:7B:2B:9F,-75
1576114190055,10000196,6C:EC:EB:1F:F4:74,-70
1576114190101,10000198,6C:EC:EB:1F:FD:83,-85
1576114190121,10000199,6C:EC:EB:1F:F4:46,-69
1576114190133,1546,7C:66:9D:7B:2B:9F,-77
1576114190163,10000196,6C:EC:EB:1F:F4:74,-73
1576114190170,0,6E:96:D4:E6:DF:B9,-81
1576114190193,0,6F:E6:1E:6B:B9:3E,-64
1576114190201,1538,BC:6A:29:BE:2F:23,-77
1576114190209,10000198,6C:EC:EB:1F:FD:83,-91
1576114190238,1546,7C:66:9D:7B:2B:9F,-76
1576114190243,10000197,6C:EC:EB:1F:F6:76,-88
1576114190282,0,72:A1:7F:5E:5B:21,-88
1576114190307,1538,BC:6A:29:BE:2F:23,-76
1576114190340,10000199,6C:EC:EB:1F:F4:46,-69
1576114190350,10000197,6C:EC:EB:1F:F6:76,-83
1576114190377,10000196,6C:EC:EB:1F:F4:74,-71
1576114190417,10000198,6C:EC:EB:1F:FD:83,-85
1576114190444,10000199,6C:EC:EB:1F:F4:46,-68
1576114190448,1546,7C:66:9D:7B:2B:9F,-76
1576114190453,10000197,6C:EC:EB:1F:F6:76,-80
1576114190468,0,6F:E6:1E:6B:B9:3E,-69
1576114190476,10000196,6C:EC:EB:1F:F4:74,-72
1576114190514,1538,BC:6A:29:BE:2F:23,-78
1576114190552,10000199,6C:EC:EB:1F:F4:46,-69
1576114190555,1546,7C:66:9D:7B:2B:9F,-74
1576114190558,10000197,6C:EC:EB:1F:F6:76,-80
1576114190562,0,6D:C3:CE:1B:6B:3C,-87
1576114190586,10000196,6C:EC:EB:1F:F4:74,-70
1576114190618,1538,BC:6A:29:BE:2F:23,-77
1576114190653,10000199,6C:EC:EB:1F:F4:46,-69
1576114190656,10000197,6C:EC:EB:1F:F6:76,-80
1576114190659,1546,7C:66:9D:7B:2B:9F,-74
1576114190696,10000196,6C:EC:EB:1F:F4:74,-70
1576114190708,10000191,6C:EC:EB:1F:F6:65,-86
1576114190741,0,6F:E6:1E:6B:B9:3E,-65
1576114190756,10000199,6C:EC:EB:1F:F4:46,-69
1576114190805,10000196,6C:EC:EB:1F:F4:74,-70
1576114190809,10000191,6C:EC:EB:1F:F6:65,-90
1576114190825,1538,BC:6A:29:BE:2F:23,-76
1576114190834,0,6D:C3:CE:1B:6B:3C,-87
