1576807676689,1105,7C:66:9D:7B:29:FA,-71
1576807676705,1545,7C:66:9D:7B:2B:90,-73
1576807676730,0000,6D:6A:06:50:8D:65,-46
1576807676744,1100,BC:6A:29:BE:31:57,-59
1576807676755,1541,7C:66:9D:7B:29:FB,-78
1576807676786,1105,7C:66:9D:7B:29:FA,-70
1576807676799,1545,7C:66:9D:7B:2B:90,-72
1576807676848,1100,BC:6A:29:BE:31:57,-60
1576807676849,1541,7C:66:9D:7B:29:FB,-81
1576807676863,18271,7C:66:9D:7B:2D:4A,-97
1576807676886,1105,7C:66:9D:7B:29:FA,-70
1576807676906,1545,7C:66:9D:7B:2B:90,-79
1576807676952,1541,7C:66:9D:7B:29:FB,-80
1576807676954,1100,BC:6A:29:BE:31:57,-63
1576807676986,1105,7C:66:9D:7B:29:FA,-70
1576807677002,0200,BC:6A:29:BE:2F:76,-96
1576807677028,1545,7C:66:9D:7B:2B:90,-74
1576807677051,1541,7C:66:9D:7B:29:FB,-78
1576807677060,1100,BC:6A:29:BE:31:57,-64
1576807677094,1105,7C:66:9D:7B:29:FA,-70
1576807677111,1545,7C:66:9D:7B:2B:90,-73
1576807677153,1541,7C:66:9D:7B:29:FB,-79
1576807677170,1100,BC:6A:29:BE:31:57,-64
1576807677181,18271,7C:66:9D:7B:2D:4A,-95
1576807677202,1105,7C:66:9D:7B:29:FA,-71
1576807677213,1545,7C:66:9D:7B:2B:90,-77
1576807677259,1541,7C:66:9D:7B:29:FB,-78
1576807677272,1100,BC:6A:29:BE:31:57,-64
1576807677280,0000,6D:6A:06:50:8D:65,-46
1576807677306,1105,7C:66:9D:7B:29:FA,-76
1576807677315,1545,7C:66:9D:7B:2B:90,-72
1576807677368,1541,7C:66:9D:7B:29:FB,-82
1576807677380,1100,BC:6A:29:BE:31:57,-69
1576807677409,1105,7C:66:9D:7B:29:FA,-72
1576807677422,1545,7C:66:9D:7B:2B:90,-78
1576807677473,1541,7C:66:9D:7B:29:FB,-79
1576807677514,1105,7C:66:9D:7B:29:FA,-74
1576807677526,1545,7C:66:9D:7B:2B:90,-73
1576807677595,1100,BC:6A:29:BE:31:57,-65
1576807677620,1105,7C:66:9D:7B:29:FA,-75
1576807677627,0200,BC:6A:29:BE:2F:76,-94
1576807677633,1545,7C:66:9D:7B:2B:90,-73
1576807677682,1541,7C:66:9D:7B:29:FB,-82
1576807677702,1100,BC:6A:29:BE:31:57,-66
1576807677729,1105,7C:66:9D:7B:29:FA,-79
1576807677736,1545,7C:66:9D:7B:2B:90,-73
1576807677784,1541,7C:66:9D:7B:29:FB,-80
1576807677802,1100,BC:6A:29:BE:31:57,-66
1576807677832,1105,7C:66:9D:7B:29:FA,-75
1576807677836,1545,7C:66:9D:7B:2B:90,-73
1576807677886,1541,7C:66:9D:7B:29:FB,-79
1576807677902,1100,BC:6A:29:BE:31:57,-70
1576807677942,1105,7C:66:9D:7B:29:FA,-72
1576807677946,1545,7C:66:9D:7B:2B:90,-72
1576807677987,1541,7C:66:9D:7B:29:FB,-79
1576807678049,1545,7C:66:9D:7B:2B:90,-73
1576807678052,1105,7C:66:9D:7B:29:FA,-69
1576807678056,0200,BC:6A:29:BE:2F:76,-91
1576807678071,0000,72:CC:1F:BC:67:6C,-93
1576807678097,1541,7C:66:9D:7B:29:FB,-79
1576807678101,0000,6D:6A:06:50:8D:65,-46
1576807678118,1100,BC:6A:29:BE:31:57,-63
1576807678199,1541,7C:66:9D:7B:29:FB,-87
1576807678224,1100,BC:6A:29:BE:31:57,-67
1576807678263,1105,7C:66:9D:7B:29:FA,-68
1576807678306,1541,7C:66:9D:7B:29:FB,-77
